timestamp,name,,legal_name,other_names,,previous_names,,oc_id,,jurisdiction,jurisdication_source,legal_type,legal_type_source,,,foundation_date,,headquarters,,directors,shareholders,,,,,,,,,,,,website,attributes_source,document_name,document_summary,document_raw,,document_filename,document_url,document2_name,documentation2_summary,document2_raw,document2_url
,Nimex Petroleum,,,Nimex Petroleum,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,NSKJ Nigeria Limited,,,NSKJ Nigeria Limited,http://www.danelec-ltd.com/Clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Nubian Nigeria Limited,,,Nubian Nigeria Limited,http://www.shell.com.ng/aboutshell/media-centre/news-and-media-releases/archive/2012/subsurface-contract.html,,,,,,,Limited Liability Company,,,,1986,http://nubiangroup.org/about.html#team,"11, Awolowo Road, Ikoyi, Lagos.",http://nubiangroup.org/about.html#team,,,,,,,,,,,,,,http://nubiangroup.org/about.html#team,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Nuova Cimi Montubi,,,Nuova Cimi Montubi,http://www.danelec-ltd.com/Clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Oando Exploration and Production Limited,,,Oando Exploration and Production Limited,https://drive.google.com/file/d/0B-KlXDOYUc-OQ0c0WDM0YlZIWm8/edit?usp=sharing,,,ng/649692,https://drive.google.com/file/d/0B-KlXDOYUc-OQ0c0WDM0YlZIWm8/edit?usp=sharing,Nigeria,https://drive.google.com/file/d/0B-KlXDOYUc-OQ0c0WDM0YlZIWm8/edit?usp=sharing,,,,,,,,,"Tinubu Jubril Adewale, Director
Mobolaji Osunsanya, Director
Olufemi Adeyemo, Director
Boyo Omamofe, Director","Oando Plc (4,999,999)
Mrs. Oredeji Delano (1)",https://drive.google.com/file/d/0B-KlXDOYUc-OQ0c0WDM0YlZIWm8/edit?usp=sharing,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,Generic company filing,"Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 6 June 2014 SEARCH REPORT DATE OF SEARCH 6th June, 2014 PLACE OF SEARCH Corporate Affairs Commission, Maitama, Abuja, Nigeria NAME OF COMPANY SENT: OANDO EXPLORATION PRODUCTION LTD CHANGE OF NAME NIL DATE OF INCORPORATION 14TH April, 2006 RC. NO.: 649692 REG. OFFICE ADDRESS: 2, Ajose adegun Street, Victoria Island, Nigeria CHANGE OF ADDRESS (Former): NIL INITIAL SHARE CAPITAL N5, 000, 000 divided into 5,000,000 ordinary shares of N1.00 each INCREASE IN SHARE CAPITAL N50, 000,000 divided into 20,000,000 ordinary shares of N1.00 each CLASSES OF SHARES ORDINARY SHARES ALLOTTED 5,000,000 SHAREHOLDERS: NAME ADDRESS SHARES OANDO PLC same as registered office address 4,999,999 OREDEJI DELANO (MRS.) House C, 165, Road C10, NICON Town Estate, Lekki, Lagos 1 FIRST DIRECTORS: 1. TINUBU JUBRIL ADEWALE 2. AKINOSHO EAMON LABODE (Both of same registered company address) CHANGE IN DIRECTORS: STATUS ADDRESS 1. TINUBU JUBRIL ADEWALE RE-APPOINTED By the latest statement of particulars of directors/resolution dated 24th July, 2012 the following changes were made: 1. MOBOLAJI OSUNSANYA (APPOINTED) 25, Modupe St., off fola Agoro Street, Shomolu, Lagos 2. OLUFEMI ADEYEMO (RE-APPOINTED)- First appointed on 24th April 2008 Flat 2, No. 7, Magbon Close, Ikoyi, Lagos 3. OLADADE DUROTOYE (RESIGNED). Appointed 1/6/2010 8A, Ruzton Road, Ikoyi, Lagos 4. BOYO OMAMOFE (RE-APPOINTED) First appointed on 12/2/2008 8A, Ruzton Road, Ikoyi, Lagos Other Changes in directorship: Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 6 June 2014 1. Mr. Babatude Ogunaike: Appointed 14/8/2008. Resigned on 1/10/2010 (Same as registered address) 2. Bright Alhonsi: Appointed on 25th May, 2007. Retired on 24th April, 2008. 3. Akinosho Eamon Labode Resigned on 14/4/2010 SECRETARY Ms. Ayotola Jagun, of 16, Redwood Road, Foreshore, Lekki, (appointed by resolution dated 29th Sept.., 2011 MAIN OBJECT: Petroleum business, prospecting and exploration for production of oil and gas. BORROWING POWER: Clauses (x) and 29 of Memorandum and Article of Association ANNUAL RETURNS Paid up to 2011 CHARGES Supplementary security Agreement dated 12th Jan., 2009 between OANDO PLC and Standard Chartered assigning certain receivables/equity funding. REMARK/COMMENT Duly registered",My Drive / Corporate Mapping / Nigeria / Nigeria CAC Filings / ng/649692 OANDO EXPLORATION PRODUCTION LTD.pdf,ng_649692 OANDO EXPLORATION PRODUCTION LTD.pdf,https://drive.google.com/file/d/0B-KlXDOYUc-OQ0c0WDM0YlZIWm8/edit?usp=sharing,,,,
,Oiltest Services Limited,,,Oiltest Services Limited,http://bgiresourcesltd.com/Projects_types5.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Omel Exploration & Production Nigeria Limited,,,Omel Exploration & Production Nigeria Limited,http://www.sydneygateway.com/projects1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Ontario Trading SA,,,Ontario Trading SA,http://www.bernedeclaration.ch/fileadmin/files/documents/Rohstoffe/BD-Nigeria-EN-20131101.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Optimum Petroleum Development Limited,,,Optimum Petroleum Development Limited,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=0CDMQFjAB&url=http%3A%2F%2Fwww.afren.com%2Fdownload.axd%3Fid%3D1693&ei=2IyLUpj0O8rAswbCxID4Cg&usg=AFQjCNGHG3WxSHXiP3_ZJbUgVgRimb2riw&bvm=bv.56643336,d.Yms&cad=rja",,,ng/196684,https://drive.google.com/file/d/0B-KlXDOYUc-OTkFQbVQya1hSM2M/edit?usp=sharing,Nigera,https://drive.google.com/file/d/0B-KlXDOYUc-OTkFQbVQya1hSM2M/edit?usp=sharing,,,,,,,,,"Alhaji Baba Ibrahim Bunu, Director
Yusuf K.J.N'jie, Director
Richard D. Adelu, Director
Gen. Ahmed Abdullahi, Director
Tunde St. Mathew-Daniel, Director","Alhaji Baba Ibrahim Bunu (500,000)
Yusuf K.j.n'jie (340,000)
Richard D. Adelu (260,000)",https://drive.google.com/file/d/0B-KlXDOYUc-OTkFQbVQya1hSM2M/edit?usp=sharing,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,Generic company filing,"Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 19 June 2014 SEARCH REPORT DATE OF SEARCH 19th June, 2014 PLACE OF SEARCH Corporate Affairs Commission, Maitama, Abuja NAME OF COMPANY SENT OPTIMUM PETROLEUM DEVELOPMENT LTD DATE OF INCORPORATION 28th May, 1992 RC. NO. 196684 REG. OFFICE ADDRESS 1-9, Berkley Street, Lagos State INITIAL SHARE CAPITAL 1,000,000 divided into 1,000,000 ordinary shares of N1.00 each SHARES ALLOTTED 1,000,000 CLASSES OF SHARES ORDINARY MAIN OBJECT Crude oil explorers and producers, Merchants in oil, Engineering contractors SHAREHOLDERS: NAME SHARES 1. ALHAJI BABA IBRAHIM BUNU 500,000 2. YUSUF K.J.N'JIE 340,000 3. RICHARD D. ADELU 260,000 FIRST DIRECTORS: 1. ALHAJI BABA IBRAHIM BUNU 2. ALHAJI MUHAMMED LAWAL MUKTARI CHANGES IN DIRECTORS: By the latest particulars of directors with resoultion dated 2nd October., 2010 the following are the current directors: 1. ALHAJI BABA IBRAHIM BUNU 2. YUSUF K.J.N'JIE 3. RICHARD D. ADELU Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 19 June 2014 4. GEN. AHMED ABDULLAHI) 5. TUNDE ST. MATHEW-DANIEL Pervious Directors: 1. MLM PETROLEUM LTD 999,999 2. MANAGING DIRECTOR OF MLM PETROLEUM LTD 1 SECRETARY: NIL BORROWING POWER: Clause 33 of Memorandom Article of Association respectively. ANNUAL RETURNS Paid up to 2012 CHARGES: NIL REMARK/COMMENT duly registered",My Drive / Corporate Mapping / Nigeria / Nigeria CAC Filings / ng/196684 OPTIMUM PETROLEUM DEVELOPMENT LTD.pdf,ng_196684 OPTIMUM PETROLEUM DEVELOPMENT LTD.pdf,https://drive.google.com/file/d/0B-KlXDOYUc-OTkFQbVQya1hSM2M/edit?usp=sharing,,,,
,Oriental Energy Resources Limited,,,Oriental Energy Resources Limited,http://www.offshore-technology.com/projects/okwokfield/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Petro-Scan Limited,,,Petro-Scan Limited,http://petroscanlimited.com/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Petrobras,,,Petrobras,http://www.subseaiq.com/data/Project.aspx?project_id=662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Petroleum Prospects International Limited,,,Petroleum Prospects International Limited,http://www.newswire.ca/fr/story/326777/addax-petroleum-acquires-shallow-water-exploration-license-in-nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Petrolin International,,,Petrolin International,http://oilbarrel.com/media/pub/var/conference_presenter_presentation_file/68.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Pipelines and Product Marketing Company Limited,,,Pipelines and Product Marketing Company Limited,http://www.belloil.com/clients/2014-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Plantgeria Company Limited,,,Plantgeria Company Limited,http://www.plantgeria.com/index.php?page=client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Platform Petroleum Company Limited,,,Platform Petroleum Company Limited,http://www.businessdayonline.com/NG/index.php/gas/15659-platform-petroleum-records-nigerias-fourth-cdm-facility,,,ng/415507,https://drive.google.com/file/d/0B-KlXDOYUc-OaVZGQW1PcmdnbVE/edit?usp=sharing,Nigeria,https://drive.google.com/file/d/0B-KlXDOYUc-OaVZGQW1PcmdnbVE/edit?usp=sharing,,,,,,,,,"Adegoke Oluwafeyikemi S. (Prof.), Director 
Lulu-briggs Dumo, Director
Avuru O. Agustine, Director
Amaechi Moshe, Director
Ado Bayero Nasir, Director
Aguele (mrs.) Wilma, Director
Konyebagu E. Opute, Director
Owieadolor Osariemen, Director","Agustine Ojunekwu Avuru (11, 625,000)
Chief Dumo Lulu-briggs (6,907,561)
Macaulay A. Ofurhie (3,635,241)
Dr. Emund M. Daukoru (3,602,334)                                        
David Brigidi (3,542,334)
Prof. O. Sylvester Adegoke (3,519,613)
Prince Nasir Ado Bayero (2,059,495)
Funsho Kupolukun (1,929,561)
Bassey Henshaw (1,841,469)
Anne Ene-ita (1,839,438)
Pus O. Afiege (1,658,360)
Vev Olu Oshewa (1,517,368)
Chidi Isaac Egwuenu (1,501,649)
Chidi Evans Dimkpa (1,312,500)
Moshe C. Amaechi (1,073,318)
Atlas Int'l Engr. Serv. Nig. Ltd (2,000,000)
Staff Share Scheme (370,000)
",https://drive.google.com/file/d/0B-KlXDOYUc-OaVZGQW1PcmdnbVE/edit?usp=sharing,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,Generic company filing,"Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 25 June 2014 SEARCH REPORT DATE OF SEARCH 25th June, 2014 PLACE OF SEARCH Corporate Affairs Commission, Maitama, Abuja. NAME OF COMPANY SENT: PLATFORM PETROLEUM LTD DATE OF INCORPORATION 25th June, 2001 RC. NO.: 415507 REG. OFFICE ADDRESS: 6, Laside Crescent, off Ezumba Mbadiwe Ave., V.I., Lagos REG. OFFICE ADDRESS(udFORMER): 12-14, Broad Street, Lagos INITIAL SHARE CAPITAL 10,000, 000 divided into 10,000,000 ordinary shares of N1.00 each INCREASE IN SHARE CAPITAL: 100,000,000 divided into 100,000,000 of N1.00 each SHARES ALLOTTED 50,165,421 CLASSES OF SHARES ORDINARY MAIN OBJECT: Petroleum production, exploitation of crude oil, natural gas and hydrocarbons. SHAREHOLDERS: NAME SHARES 1. AGUSTINE OJUNEKWU AVURU 11,625,000 2. CHIEF DUMO LULU-BRIGGS 6,907,561 3. MACAULAY A. OFURHIE 3,635,241 4. DR. EMUND M. DAUKORU 3,602,334 5. DAVID BRIGIDI 3,542,334 6. PROF. O. SYLVESTER ADEGOKE 3,519.613 7. PRINCE NASIR ADO BAYERO 2,059,495 8. FUNSHO KUPOLUKUN 1,929561 9. BASSEY HENSHAW 1,841,469 10. ANNE ENE-ITA 1,839,438 11. PUS O. AFIEGE 1,658,360 12. VEV OLU OSHEWA 1,517,368 13. CHIDI ISAAC EGWUENU 1,501,649 14. CHIDI EVANS DIMKPA 1,312,500 15. MOSHE C. AMAECHI 1,073,318 16. ATLAS INT’L ENGR. SERV. NIG. LTD 2,000,000 17. STAFF SHARE SCHEME 370,000 DIRECTORS: 1. ADEGOKE OLUWAFEYIKEMI S. (PROF.) 2. LULU-BRIGGS DUMO 3. AVURU O. AGUSTINE 4. AMAECHI MOSHE 5. ADO BAYERO NASIR 6. AGUELE (MRS.) WILMA 7. KONYEBAGU E. OPUTE 8. OWIEADOLOR OSARIEMEN SECRETARY: Omu Henry Eshizonam of 26, Rasak Okoya Lane off Bamgbose Street, Lagos BORROWING POWER: Clauses 3 (i) of Memorandum and 38 Article of Association ANNUAL RETURNS Paid up to 2012 CHARGES: Deed of Debenture dated 3rd June, 2010 securing 1 Billion Naira in favour of Sky Bank Plc. REMARK/COMMENT: Duly registered",My Drive / Corporate Mapping / Nigeria / Nigeria CAC Filings / ng/415507 PLATFORM PETROLEUM LTD.pdf,ng_415507 PLATFORM PETROLEUM LTD.pdf,https://drive.google.com/file/d/0B-KlXDOYUc-OaVZGQW1PcmdnbVE/edit?usp=sharing,,,,
,Point Engineering Limited,,,Point Engineering Limited,http://pointengineering.com/index.php/experience?start=1,,,ng/280395,https://drive.google.com/file/d/0B-KlXDOYUc-ObGFDRE41SVVScmM/edit?usp=sharing,Nigeria,https://drive.google.com/file/d/0B-KlXDOYUc-ObGFDRE41SVVScmM/edit?usp=sharing,Limited Liability Company,http://pointengineering.com/index.php/about-us,,,1995,http://pointengineering.com/index.php/about-us,"Point House, Plot 129 Bodo Road, Off Woji Road, GRA Phase 2, Port Harcourt, Rivers State, Nigeria ",http://pointengineering.com/index.php/about-us,"George Okoyo, Director
Peter Eigbedon, Director
Richard Aludu, Director
Omare A. Jonathan, Director
George Okoyo, Director
Abubakar Dahiru, Director
Keneth Okoyo, Director
Odinaka Okoyo, Director
Peter Eigbedon, Director
Ebosetee Okoyo, Director
Anthony Oghuvwu, Director
Batombari Lezor, Director
Emeka Nwankwo, Director
Samuel Eguvere, Director
Egbuluka Francis, Director
Oke Oderhohwo, Director
Ureme Ikechukwu, Director
Mark Majebi, Director","George Okoyo (54,000,000)
Abubakar Dahiru (6,000,000)
Keneth Okoyo (10,000,000)
Barr. Opufaa Ben-Whyte (1,000,000)
Jonathan Taberen (500,000)
Osemujamhen Okoyo (5,000,000)
Odinaka Okoyo (5,000,000)
Peter Eigbedon (2,000,000)
Ebosetee Okoyo (10,000,000)
Caroline Okoyo (5,000,000)
Samuel Eguvere (500,000)
Staff (trustee Share) (1,000,000)",https://drive.google.com/file/d/0B-KlXDOYUc-ObGFDRE41SVVScmM/edit?usp=sharing,,,,,,,,,,,http://pointengineering.com,Nigeria Company List - Source URL.csv,,Generic company filing,"Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 6 June 2014 SEARCH REPORT DATE OF SEARCH 6th June, 2014 PLACE OF SEARCH Corporate Affairs Commission, Maitama, Abuja, Nigeria NAME OF COMPANY SENT: POINT ENGINEERING LTD CHANGE OF NAME NIL DATE OF INCORPORATION 9th October, 1995 RC. NO.: 280395 REG. OFFICE ADDRESS: Plot 129, Bodo Road, GRA, Phase 2, Port Harcourt, Rivers state, Nigeria (By resolution dated 10th October, 2011) CHANGE OF ADDRESS (Former): 5, Rumuagholu Road, Rumuokoro, Port Harcourt, Rivers State, Nigeria INITIAL SHARE CAPITAL N100, 000 divided into 100,000 ordinary shares of N1.00 each INCREASE IN SHARE CAPITAL N100,000,000 divided into 100,000,000 ordinary shares of N1.00 each (By resolution dated 26th October, 2011) CLASSES OF SHARES ORDINARY SHARES ALLOTTED 100,000,000 SHAREHOLDERS: NAME ADDRESS SHARES 1. GEORGE OKOYO 54,000,000 2. ABUBAKAR DAHIRU 6,000,000 3. KENETH OKOYO 10,000,000 4. BARR. OPUFAA BEN-WHYTE 1,000,000 5. JONATHAN TABEREN 500,000 6. OSEMUJAMHEN OKOYO 5,000,000 7. ODINAKA OKOYO 5,000,000 8. PETER EIGBEDON 2,000,000 9. EBOSETEE OKOYO 10,000,000 10. CAROLINE OKOYO 5,000,000 11. SAMUEL EGUVERE 500,000 12. STAFF(TRUSTEE SHARE) 1,000,000 (All of registered address) Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 6 June 2014 FIRST DIRECTORS: 1. GEORGE OKOYO 16, Orazi Road, Port Harcourt, Rivers State 2. PETER EIGBEDON 59, Orazi Road, Port Harcourt, Rivers State 3. RICHARD ALUDU same with registered address 4. OMARE A. JONATHAN Same as above CHANGE IN DIRECTORS: STATUS ADDRESS [ By the latest statement of particulars of directors/resolution dated 19th Nov., 2011 the following changes were made: 1. GEORGE OKOYO RETAINED 16, Orazi Road, P/H, Rivers State 2. ABUBAKAR DAHIRU RETAINED (First appointed 13/7/2001) 3. KENETH OKOYO RETAINED (First appointed on 13/7/11) 4. ODINAKA OKOYO RETAINED (First appointed on 11//2003) 5. PETER EIGBEDON RETAINED 6. EBOSETEE OKOYO RETAINED (First appointed on 7/7/2006) 7. ANTHONY OGHUVWU 8. BATOMBARI LEZOR 9. EMEKA NWANKWO 10. SAMUEL EGUVERE 11. EGBULUKA FRANCIS 12. OKE ODERHOHWO 13. UREME IKECHUKWU 14. MARK MAJEBI NB: Nos. 7 to 14 were all appointed 7th July, 2006 and removed 19th Nov., 2011 Other Changes in directorship: 1. Samusideen A. Salu: Appointed 25th Nov., 2011. Resigned on 7/7/2006 SECRETARY Ben-Whyte of Ben-Whyte & Associates, of 5, Eligbam Road, Port Harcourt, River State (appointed by resolution dated 6th June., 2011 MAIN OBJECT: engineering Services and independent marketers and dealers in oil and Petroleum exploration and merchants. BORROWING POWER: Clauses 30 Article of Association ANNUAL RETURNS Paid up to 2012 CHARGES NIL AGREEMENT FOR RESOLUTION OF DISPUTE OVER CONTROL OF THE MANAGEMENT OF THE COMPANY, PERSONNEL",My Drive / Corporate Mapping / Nigeria / Nigeria CAC Filings / ng/280395 POINT ENGINEERING LTD.pdf,ng_280395 POINT ENGINEERING LTD.pdf,https://drive.google.com/file/d/0B-KlXDOYUc-ObGFDRE41SVVScmM/edit?usp=sharing,,,,
,Port Harcourt Refining Company Limited (PHRC),,,Port Harcourt Refining Company Limited (PHRC),http://www.mannprojects.com/previous-job/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,/Nigeria CAC Filings/ng_180681 ALLIED ENERGY PLC/ng_180681 ALLIED ENERGY PLC Company Summary (1).pdf
,Prime Sources Limited,,,Prime Sources Limited,http://primesources.net/projects.html,,,ng/114806,https://drive.google.com/file/d/0B-KlXDOYUc-OME1WQlFwNjNVSDQ/edit?usp=sharing,Nigeria,https://drive.google.com/file/d/0B-KlXDOYUc-OME1WQlFwNjNVSDQ/edit?usp=sharing,,,,,2001,http://primesources.net/aboutus.html,"Galcon House, Plot 2, Blk 113, Lekki Express Way (By Elf B/Stop), Lekki-Phase 1, Lagos State, Nigeria.",http://primesources.net/aboutus.html,"Babtunde Taiwo Soremekun, Director
Modupeola Oluremi Soremekuni, Director","Babtunde Taiwo Soremekun (1)
Modupeola Oluremi Soremekuni (1)",https://drive.google.com/file/d/0B-KlXDOYUc-OME1WQlFwNjNVSDQ/edit?usp=sharing,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,Generic company filing,"Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 25 June 2014 SEARCH REPORT DATE OF SEARCH 25th June, 2014 PLACE OF SEARCH Corporate Affairs Commission, Maitama, Abuja NAME OF COMPANY SENT PRIME SOURCES LTD DATE OF INCORPORATION 24th June, 1998 RC. NO. 114806 REG. OFFICE ADDRESS 28, Ijaola Street, Maryland, Lagos INITIAL SHARE CAPITAL 200,000 divided into 200,000 ordinary shares of N1.00 each INCREASE IN SHARE CAPITAL Nil SHARES ALLOTTED 2(TWO) CLASSES OF SHARES ORDINARY MAIN OBJECT Transportation, act as travel crescent services, run aviation and marinetime services, hoteling, business consultants, etc. SHAREHOLDERS NAME ADDRESS SHARES 1. BABTUNDE TAIWO SOREMEKUN 23, Akobi crescent, Surulere, Lagos 1 2. MODUPEOLA OLUREMI SOREMEKUNI Same as above 1 DIRECTORS: SAME AS SHAREHOLDERS SECRETARY: Nil BORROWING POWER: Clause 21 and 19 of Memorandum and Article of Association respectively. ANNUAL RETURNS Nil CHARGES: Nil REMARK/COMMENT duly registered",My Drive / Corporate Mapping / Nigeria / Nigeria CAC Filings / ng/114806 PRIME SOURCES LTD.pdf,ng_114806 PRIME SOURCES LTD.pdf,https://drive.google.com/file/d/0B-KlXDOYUc-OME1WQlFwNjNVSDQ/edit?usp=sharing,,,,
,Rayflosh Petroleum,,,Rayflosh Petroleum,http://newcrosspet.com/news.php?page=48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,RFO Ventures Limited,,,RFO Ventures Limited,http://www.petroleumafrica.com/oando-signs-psc-and-gmou/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,River Creek Specialist Limited,,,River Creek Specialist Limited,http://jephkebbi.com/index.php?option=com_content&view=article&id=5&Itemid=5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Rockson Engineering,,,Rockson Engineering,http://nielsonngr.com/about-us/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Royal Dutch Shell Plc,,,Royal Dutch Shell Plc,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=8176559,,,,,Netherlands,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=22385966,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Sahara Energy Resource Limited,179,,Sahara Energy Resource Limited,http://wellman-wellington.org/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Sahara Energy Resource Nigeria Limited (SERNL),178,,Sahara Energy Resource Nigeria Limited (SERNL),http://wellman-wellington.org/clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Saipem Contracting Nigeria Limited,"181,182",,Saipem Contracting Nigeria Limited,http://chattelng.com/PAST-JOBS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Saipem Energy International,"180,182",,Saipem Energy International,http://pointengineering.com/index.php/experience?start=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Saipem Nigeria,"180,181",,Saipem Nigeria,http://www.belloil.com/clients/2014-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Samsung Heavy Industries Upstream Nigeria,,,Samsung Heavy Industries Upstream Nigeria,http://64.224.108.87/news/35504_SHI-wins-3bn-deal-to-build-FPSO-for-Nigerian-oil-fields.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Sapetro,,,Sapetro,http://www.subseaiq.com/data/Project.aspx?project_id=662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,SCC Nigeria Limited,,,SCC Nigeria Limited,http://www.shell.com.ng/aboutshell/media-centre/news-and-media-releases/archive/2011/line-pipes.html,,,,,,,,,,,,,"SCCN House, Plot 184 Cadestral Zone A8, Ademola Adetakunbo Wuse 2,Abuja, Nigeria.",http://www.sccnigeria.com/#/Contacts/,"Prof. John Kester, Director
Engr. Safet  Karaulan, Director
Mr. Henry C. Eneh, Director
Mrs. Patience I. Ikemefuna, Director",,http://www.sccnigeria.com/#/About-us/,,,,,,,,,,,http://www.sccnigeria.com/,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Schlumberger (Sedco-Forex) Nigeria Limited,,,Schlumberger (Sedco-Forex) Nigeria Limited,http://bgiresourcesltd.com/Projects_types5.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Schlumberger (Wire line and Testing) Nigeria Limited,,,Schlumberger (Wire line and Testing) Nigeria Limited,http://www.danelec-ltd.com/Clients.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Schlumberger Limited,x,,Schlumberger Limited,http://investorcenter.slb.com/phoenix.zhtml?c=97513&p=irol-newsArticle&ID=427097&highlight=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Schlumberger Oilfield Services,,,Schlumberger Oilfield Services,http://bgiresourcesltd.com/Projects_types5.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Schlumberger Supply Chain Services,,,Schlumberger Supply Chain Services,http://www.teconoilserv.com/index.php?s=projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
