company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
BP Oil Australia Pty Limited,70.35,BP Australia Group Pty Ltd,100,Australia,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
"BP Oil Espana, S A Unipersonal",100,"BP Espana, S A Unipersonal",100,Spain,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Oil Hellenic S A,100,BP Greece Limited,100,Greece,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Oil International Limited,100,BP International Limited,100,United Kingdom,05.05.14 00:00,gb/00322365,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 82 081 000, 1 215 000, 158 044 000, 20 769 000,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/00322365 BP Oil International Limited.csv,00322365 BP Oil International Limited.csv,https://data.openoil.net/documents/financials/00322365 BP Oil International Limited.csv,200,,,,/UK Companies House filings/gb/00322365 BP Oil International Limited/AA 18/09/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_00322365 BP Oil International Limited/AA 18_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_00322365 BP Oil International Limited/AA 18_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,404
BP Oil Kent Refinery Limited (in liquidation),100,BP Oil UK Limited,100,United Kingdom,05.05.14 00:00,gb/00490191,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,Liquidation,,,,,,,,,,,,,,,,,,,
BP Oil Llandarcy Refinery Limited,100,BP Oil UK Limited,100,United Kingdom,05.05.14 00:00,gb/00146560,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,   0,   0,  200 000,   0,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/00146560 BP Oil Llandarcy Refinery Limited.csv,00146560 BP Oil Llandarcy Refinery Limited.csv,https://data.openoil.net/documents/financials/00146560 BP Oil Llandarcy Refinery Limited.csv,200,,,,/UK Companies House filings/gb/00146560 BP Oil Llandarcy Refinery Limited/AA 11/06/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_00146560 BP Oil Llandarcy Refinery Limited/AA 11_06_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_00146560 BP Oil Llandarcy Refinery Limited/AA 11_06_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Oil Logistics UK Limited,100,BP Oil UK Limited,100,United Kingdom,05.05.14 00:00,gb/04942439,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,   0,   0,   1,   0,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/04942439 BP Oil Logistics UK Limited.csv,04942439 BP Oil Logistics UK Limited.csv,https://data.openoil.net/documents/financials/04942439 BP Oil Logistics UK Limited.csv,200,,,,/UK Companies House filings/gb/04942439 BP Oil Logistics UK Limited/AA 17/07/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_04942439 BP Oil Logistics UK Limited/AA 17_07_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_04942439 BP Oil Logistics UK Limited/AA 17_07_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Oil Marketing Co,100,BP Products North America Inc,100,United States,05.05.14 00:00,us_de/2282582,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Oil Marketing GmbH,100,BP Europa SE,100,Germany,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Oil New Zealand Limited,100,BP New Zealand Holdings Limited,100,New Zealand,05.05.14 00:00,nz/5068,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Oil Pipeline Company,100,BP Pipelines (North America) Inc,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,>1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
"BP Oil Shipping Company, USA",100,The Standard Oil Company,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,>1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Oil UK Limited,100,BP International Limited,100,United Kingdom,05.05.14 00:00,gb/00446915,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Oil Venezuela Limited,100,BP International Limited,100,United Kingdom,05.05.14 00:00,gb/01858781,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Oil Vietnam Limited,100,BP Asia Pacific Holdings Limited,100,United Kingdom,05.05.14 00:00,gb/00567280,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,not stated, 13 716 000, 34 063 000,  4 000,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/00567280 BP Oil Vietnam Limited.csv,00567280 BP Oil Vietnam Limited.csv,https://data.openoil.net/documents/financials/00567280 BP Oil Vietnam Limited.csv,200,,,,/UK Companies House filings/gb/00567280 BP Oil Vietnam Limited/AA 29_05_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,gb_00567280 BP Oil Vietnam Limited/AA 29_05_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_00567280 BP Oil Vietnam Limited/AA 29_05_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Oil Yemen Limited,100,BP International Limited,100,United Kingdom,05.05.14 00:00,gb/00190435,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,not stated,-  110 989, 1 929 896,  74 325,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/00190435 BP Oil Yemen Limited.csv,00190435 BP Oil Yemen Limited.csv,https://data.openoil.net/documents/financials/00190435 BP Oil Yemen Limited.csv,200,,,,/UK Companies House filings/gb/00190435 BP Oil Yemen Limited/AA 26/06/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_00190435 BP Oil Yemen Limited/AA 26_06_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_00190435 BP Oil Yemen Limited/AA 26_06_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Olex Fanal Mineralol GmbH,100,BP Europa SE,100,Germany,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Overzee B V,100,BP Nederland Holdings BV,100,Netherlands,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP P L C,,,,United Kingdom,05.05.14 00:00,gb/00102498,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,244 901 727 700 (group),14 684 819 800 (group),188 946 989 000 (group),108 342 422 300 (group),,,,/Corporate Mapping/BP/BP Project/Finance Sheets/BP_Annual_Report_and_Form_20F_Financial_Statements_2013.pdf,BP_Annual_Report_and_Form_20F_Financial_Statements_2013.pdf,https://data.openoil.net/documents/financials/BP_Annual_Report_and_Form_20F_Financial_Statements_2013.pdf,200,,,,,,,
BP Pacific Investments Ltd,100,BP New Zealand Holdings Limited,100,New Zealand,05.05.14 00:00,nz/27291,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Pakistan (Bad in) Inc,100,BP America Production Company,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
"BP Pakistan Exploration and Production, Inc",100,Union Texas International Corporation,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,>1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Pension Trustees Limited,99,BP P L C,100,United Kingdom,05.05.14 00:00,gb/00230748,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,   0,   0,  100 100,  100 000,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/00230748 BP Pension Trustees Limited.csv,00230748 BP Pension Trustees Limited.csv,https://data.openoil.net/documents/financials/00230748 BP Pension Trustees Limited.csv,200,,,,/UK Companies House filings/gb/00230748 BP Pension Trustees Limited/AA 2012 Pension Trustees Limited.pdf,gb_00230748 BP Pension Trustees Limited/AA 2012 Pension Trustees Limited.pdf,https://data.openoil.net/documents/gb_00230748 BP Pension Trustees Limited/AA 2012 Pension Trustees Limited.pdf,200
BP Pensions (Overseas) Limited,100,BP P L C,100,Guernsey,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Pensions Limited,99,BP P L C,100,United Kingdom,05.05.14 00:00,gb/01337112,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 7 844 322,   0, 4 333 260, 4 333 160,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/01337112 BP Pensions Limited.csv,01337112 BP Pensions Limited.csv,https://data.openoil.net/documents/financials/01337112 BP Pensions Limited.csv,200,,,,/UK Companies House filings/gb/01337112 BP Pensions Limited/AA 2012 BP Pensions Limited.pdf,gb_01337112 BP Pensions Limited/AA 2012 BP Pensions Limited.pdf,https://data.openoil.net/documents/gb_01337112 BP Pensions Limited/AA 2012 BP Pensions Limited.pdf,200
BP Peru Limited,100,BP (Bermuda) Limited,100,Bermuda,05.05.14 00:00,bm/2658,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
"BP PetroChina Petroleum Co , Ltd",49,BP Global Investments Limited,49,China,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP PetroIlen Anonim Sirketi,51.18,BP Turkey Refining Limited,100,Turkey,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP PETRONAS Acetyls Sdn Bhd,70,BP Holdings International B V,70,Malaysia,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Pipelines (Alaska) Inc,100,The Standard Oil Company,100,United States,05.05.14 00:00,us_de/0361528,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Pipelines (BTC) Limited,100,BTC Pipeline Holding Company Limited,100,United Kingdom,05.05.14 00:00,gb/04316931,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 175 568 427, 148 861 914, 631 467 127, 180 602 625,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/04316931 BP Pipelines (BTC) Limited.csv,04316931 BP Pipelines (BTC) Limited.csv,https://data.openoil.net/documents/financials/04316931 BP Pipelines (BTC) Limited.csv,200,,,,/UK Companies House filings/gb/04316931 BP Pipelines (BTC) Limited/AA 02/10/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_04316931 BP Pipelines (BTC) Limited/AA 02_10_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_04316931 BP Pipelines (BTC) Limited/AA 02_10_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Pipelines (North America) Inc,100,The Standard Oil Company,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,>1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Pipelines (SCP) Limited,100,BP Global Investments Limited,100,United Kingdom,05.05.14 00:00,gb/04446121,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 29 436 194, 7 648 037, 233 476 493, 198 054 101,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/04446121 BP Pipelines (SCP) Limited.csv,04446121 BP Pipelines (SCP) Limited.csv,https://data.openoil.net/documents/financials/04446121 BP Pipelines (SCP) Limited.csv,200,,,,/UK Companies House filings/gb/04446121 BP Pipelines (SCP) Limited/AA 02/10/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_04446121 BP Pipelines (SCP) Limited/AA 02_10_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_04446121 BP Pipelines (SCP) Limited/AA 02_10_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Polska Services Sp zoo,100,BP Europa SE,100,Poland,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Polypropylene France,100,BP France,100,France,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Portugal - Comercio de Combustiveis e Lubrificantes SA,100,BP Global Investments Limited,100,Portugal,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Products North America Inc,100,The Standard Oil Company,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,>1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Properties Limited,100,BP P L C,100,United Kingdom,05.05.14 00:00,gb/00699446,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 3 690 000, 2 661 000, 62 275 000, 2 120 000,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/00699446 BP Properties Limited.csv,00699446 BP Properties Limited.csv,https://data.openoil.net/documents/financials/00699446 BP Properties Limited.csv,200,,,,/UK Companies House filings/gb/00699446 BP Properties Limited/AA 2012 BP Properties Limited.pdf,gb_00699446 BP Properties Limited/AA 2012 BP Properties Limited.pdf,https://data.openoil.net/documents/gb_00699446 BP Properties Limited/AA 2012 BP Properties Limited.pdf,200
BP Quanzhou LPG Company Limited,100,BP FuJian Ltd,67,China,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Raffinaderij Rotterdam B V,100,BP Nederland Holdings BV,100,Netherlands,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Refinery (Bulwer Island) Pty Limited,100,BP Australia Pty Limited,100,Australia,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Refinery (Kwinana) Pty Ltd,100,BP Oil Australia Pty Limited,100,Australia,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Refining & Petrochemicals GmbH,100,BP Europa SE,100,Germany,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Regional Australasia Holdings Pty Ltd,100,200 PS Overseas Holdings Inc,100,Australia,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Russian Investments Limited,100,BP International Limited,100,United Kingdom,05.05.14 00:00,gb/02565511,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 871 362 376, 632 843 675,6 927 827 962, 105 056 381,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/02565511 BP Russian Investments Limited.csv,02565511 BP Russian Investments Limited.csv,https://data.openoil.net/documents/financials/02565511 BP Russian Investments Limited.csv,200,,,,/UK Companies House filings/gb/02565511 BP Russian Investments Limited/AA 30/09/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_02565511 BP Russian Investments Limited/AA 30_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_02565511 BP Russian Investments Limited/AA 30_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Sakhalin Inc,100,BP America Production Company,100,United States,05.05.14 00:00,us_de/2886636,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Services International Limited,100,BP Exploration Company Limited,100,United Kingdom,05.05.14 00:00,gb/05319396,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 16 648 127,-  104 518, 14 308 643,  424 252,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/05319396 BP Services International Limited.csv,05319396 BP Services International Limited.csv,https://data.openoil.net/documents/financials/05319396 BP Services International Limited.csv,200,,,,/UK Companies House filings/gb/05319396 BP Services International Limited/AA 18/09/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_05319396 BP Services International Limited/AA 18_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_05319396 BP Services International Limited/AA 18_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Shafag-Asiman Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,gb/07599899,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,not stated,- 3 142 711, 13 038 620, 11 205 398,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/07599899 BP Shafag-Asiman Limited.csv,07599899 BP Shafag-Asiman Limited.csv,https://data.openoil.net/documents/financials/07599899 BP Shafag-Asiman Limited.csv,200,,,,/UK Companies House filings/gb/07599899 BP Shafag-Asiman Limited/AR01 11042013.pdf,gb_07599899 BP Shafag-Asiman Limited/AR01 11042013.pdf,https://data.openoil.net/documents/gb_07599899 BP Shafag-Asiman Limited/AR01 11042013.pdf,
BP Sharjah Limited,100,BP Exploration Operating Company Limited,100,United Kingdom,05.05.14 00:00,gb/05608021,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 56 969 335, 8 083 101, 122 410 726, 12 401 434,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/05608021 BP Sharjah Limited.csv,05608021 BP Sharjah Limited.csv,https://data.openoil.net/documents/financials/05608021 BP Sharjah Limited.csv,200,,,,/UK Companies House filings/gb/05608021 BP Sharjah Limited/AA 15/07/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_05608021 BP Sharjah Limited/AA 15_07_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_05608021 BP Sharjah Limited/AA 15_07_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
BP Sharjah LPG Company,100,BP America Production Company,100,United States,05.05.14 00:00,us_de/2029878,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Sharjah Oil Company,100,BP America Production Company,100,United States,05.05.14 00:00,us_de/0861370,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Shipping Limited,100,BP P L C,100,United Kingdom,05.05.14 00:00,gb/00140132,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 848 144 166,- 129 759 060,1 309 374 087, 325 220 364,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/00140132 BP Shipping Limited.csv,00140132 BP Shipping Limited.csv,https://data.openoil.net/documents/financials/00140132 BP Shipping Limited.csv,200,,,,/UK Companies House filings/gb/00140132 BP Shipping Limited/AA 2012 BP Shipping Limited.pdf,gb_00140132 BP Shipping Limited/AA 2012 BP Shipping Limited.pdf,https://data.openoil.net/documents/gb_00140132 BP Shipping Limited/AA 2012 BP Shipping Limited.pdf,200
BP Singapore Pte Limited,100,BP International Limited,100,Singapore,05.05.14 00:00,sg/200705665D,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
"BP Sinopec (The.liang) Petroleum Co, Ltd",40,BP Global Investments Limited,40,China,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Social Investment Company,100,BP America Inc,100,United States,05.05.14 00:00,us_de/2249883,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Solar do Brasil Ltda,99,BP Alternative Energy International Limited,100,Brazil,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
BP Solar Energy North America LLC,100,BP Alternative Energy North America Inc,100,United States,05.05.14 00:00,us_de/3940987,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
"BP Solar Espana, S A Unipersonal",100,"BP Espana, S A Unipersonal",100,Spain,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
